"id","分類","機能名","概要","入力","出力","利用者"
"fun-022","決済・ポイント","ポイント残高表示","現在の保有 LinkPoints (LP) を画面上に表示する。","ユーザーID","現在のLP残高数値","借り手, 貸し手"
"fun-023","決済・ポイント","予約確定時ポイント引き落とし","予約が承認された際、借り手の残高から利用料分を一時的に差し引く（エスクロー）。","予約ID、利用料金(LP)","引き落とし後の残高、決済ログ","システム"
"fun-024","決済・ポイント","キャンセル時自動返金ロジック","キャンセルポリシーに基づき、残存日数に応じた割合のLPを借り手へ返金する。","予約キャンセル日、利用予定日、支払済みLP","返金LP額、残高更新","システム"
"fun-025","決済・ポイント","完了時ポイント報酬加算","利用が正常終了した後、貸し手の残高へ報酬LPを加算する。","利用完了イベント","貸し手のLP残高加算","システム"
"fun-026","決済・ポイント","ポイント取引履歴表示","ポイントの加算・減算の履歴を時系列で表示する。","ユーザーID","日付・項目・増減額のリスト","借り手, 貸し手"
"fun-027","利用・ガイド","利用ガイド自動生成","物件情報からアクセス方法やルールを抽出・整形し、借り手用ガイドを生成する。","予約ID、物件ガイド設定情報","閲覧用デジタルガイド","システム"
"fun-028","利用・ガイド","ガイド閲覧インターフェース","予約確定後の借り手が、現地でスマホからガイド情報を確認できる画面。","予約ID（要認証）","ガイド詳細表示","借り手"
"fun-029","利用・ガイド","チェックイン報告機能","借り手が現地到着を確認し、ステータスを「利用中」に更新する。","チェックインボタン押下","ステータス更新、貸し手への通知","借り手"
"fun-030","利用・ガイド","チェックアウト報告機能","借り手が清掃・退出を完了したことを報告し、ステータスを「完了」にする。","チェックアウトボタン押下","ステータス更新、レビュー依頼のトリガー","借り手"
"fun-031","レビュー","物件レビュー投稿","借り手が物件やオーナーに対し、5段階評価とコメントを投稿する。","評価スコア、コメント内容、予約ID","登録完了、物件の平均スコア更新","借り手"
"fun-032","レビュー","ユーザーレビュー投稿（貸し手から）","貸し手が借り手のマナー等に対し、5段階評価とコメントを投稿する。","評価スコア、コメント内容、予約ID","登録完了、借り手の信頼度スコア更新","貸し手"
"fun-033","レビュー","レビュー一覧表示","物件詳細画面において、過去の利用者によるレビューを表示する。","物件ID","レビューリスト、総合評価平均","借り手"
"fun-034","コミュニケーション","定型アクション通知","リクエスト、承認、キャンセル等の特定アクション時にシステム定型文で通知する。","アクション種別","通知テキスト","システム"
"fun-035","通知","予約リクエスト発生リアルタイム通知","貸し手に対し、新しい予約希望が届いたことをWebプッシュ等で通知する。","予約作成イベント","プッシュ通知、通知センターへの登録","システム"
"fun-036","通知","承認・却下結果通知","借り手に対し、予約の結果が判明したことを即座に知らせる。","ステータス変更イベント","プッシュ通知","システム"
"fun-037","通知","システム内通知センター","ログイン中に確認できるお知らせ一覧機能。","ユーザーID","未読・既読の通知リスト","借り手, 貸し手"
"fun-038","管理者機能","管理者用ログイン","管理者用メールアドレスとパスワードによる認証。","管理者資格情報","管理コンソールへのアクセス権限","システム管理者"
"fun-039","管理者機能","全体統計ビュー","累計物件数、ユーザー数、予約成立数、LP流通総額をダッシュボードに表示する。","集計期間指定","グラフおよび統計データ","システム管理者"
"fun-040","管理者機能","ユーザーリスト管理","全ユーザーを検索・一覧表示し、詳細情報を確認する。","検索条件（名前/メール等）","ユーザーリスト","システム管理者"
"fun-041","管理者機能","アカウント利用停止処理","不適切利用や低評価が続くユーザーのログインを制限する。","対象ユーザーID、停止理由","ステータス「凍結」、ログイン拒否設定","システム管理者"
"fun-042","管理者機能","掲載物件検閲・削除","公序良俗に反する物件情報の削除または非表示設定を行う。","対象物件ID","削除完了メッセージ","システム管理者"
"fun-043","管理者機能","手動ポイント調整機能","不具合対応や補填のため、管理者が特定ユーザーのLPを増減させる。","対象ユーザーID、調整額、理由","残高更新、特殊調整ログ","システム管理者"
"fun-044","管理者機能","システムエラーログ確認","ポイント決済やAPI連携で発生したエラーを確認する。","日付範囲","エラーログ一覧","システム管理者"
"fun-045","UI/UX","レスポンシブ・グリッド表示","画面サイズに応じて物件一覧の列数を自動調整する（Tailwind CSS活用）。","ブラウザ幅情報","最適化されたレイアウト","借り手, 貸し手"
"fun-046","UI/UX","PWAインストールプロンプト","スマホのブラウザでアクセスした際、ホーム画面への追加を促す。","manifest.json、Service Worker設定","ホーム画面アイコン追加機能","借り手, 貸し手"
"fun-047","UI/UX","ローディング・スケルトン表示","物件情報の取得中に骨組みだけのレイアウトを表示し、体感速度を向上させる。","データフェッチ状態","スケルトンUI","借り手"
"fun-048","UI/UX","ダークモード/ライトモード切替","OSの設定または手動操作でカラーテーマを変更する。","テーマ選択","スタイル定義の適用","借り手, 貸し手"
"fun-049","検索・予約","物件位置情報の地図表示","物件の所在地をマップ上にピン表示する。","緯度・経度データ","マップUI上のマーカー","借り手"
"fun-050","認証・ユーザー管理","利用規約同意確認","初回ログイン時に利用規約を表示し、同意を得る。","同意チェックボックス","同意日時の記録、本機能への遷移許可","借り手, 貸し手"
"fun-051","物件管理","物件閲覧数（PV）カウント","各物件の閲覧数をカウントし、人気順ソート等に利用する。","ページ表示イベント","累計閲覧数データ","システム"
"fun-052","利用・ガイド","オフライン対応（PWA機能）","通信環境の悪い場所でも、一度取得したガイド情報をオフラインキャッシュで閲覧可能にする。","キャッシュされたガイドデータ","オフライン表示","借り手"
"fun-053","決済・ポイント","決済トランザクション・ロック","多重決済を防ぐため、ポイント引き落とし処理をトランザクション内で実行する。","決済要求","整合性が確保された決済実行","システム"
"fun-054","管理者機能","カテゴリーマスター管理","検索に使用する利用目的（キャンプ、DIY等）のカテゴリ項目を追加・編集する。","カテゴリ名、アイコン","カテゴリーマスター更新","システム管理者"
"fun-055","通知","レビュー催促通知","利用完了から24時間経過後、レビュー未投稿の場合に通知を送る。","時間経過条件","プッシュ通知送信","システム"
"fun-056","物件管理","お気に入り物件一覧表示","自身がお気に入り登録した物件をマイページから一括確認する。","ユーザーID","保存済み物件リスト","借り手"
